"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Derek Fisher","MIL","4","8","0","1","1","0","0.0%","12.5%",".250",".286",".250",".250",".500",".306",".155","90","0.0","-0.1","0.2","0.0","16192"
"Monte Harrison","MIA","9","11","0","0","0","0","0.0%","27.3%",".100",".286",".200",".200",".300",".212",".205","31","-0.3","-1.3","1.3","0.0","17216"
"Wily Peralta","DET","19","2","0","0","0","0","50.0%","0.0%",".000",".000",".000",".500",".000",".346",".421","121","0.0","0.0","0.2","0.0","7738"
"Jameson Taillon","NYY","29","2","0","0","0","0","50.0%","0.0%",".000",".000",".000",".500",".000",".346",".367","121","0.0","0.0","0.2","0.0","11674"
"Clarke Schmidt","NYY","2","2","0","0","0","0","50.0%","50.0%",".000",".000",".000",".500",".000",".346",".346","121","0.0","0.0","0.2","0.0","19899"
"Aaron Civale","CLE","21","2","0","0","0","0","50.0%","50.0%",".000",".000",".000",".500",".000",".346",".346","120","0.0","0.0","0.2","0.0","19479"
"Reid Detmers","LAA","5","2","0","0","0","0","50.0%","50.0%",".000",".000",".000",".500",".000",".346",".346","118","0.0","0.0","0.2","0.0","27468"
"Hoby Milner","MIL","19","2","0","0","0","0","50.0%","50.0%",".000",".000",".000",".500",".000",".346",".346","116","0.0","0.0","0.2","0.0","13346"
"Aaron Ashby","MIL","14","4","0","0","0","0","25.0%","50.0%",".000",".000",".000",".333",".000",".231",".231","41","0.0","-0.3","0.5","0.0","23550"
"Cole Irvin","OAK","32","7","0","0","1","0","0.0%","28.6%",".000",".333",".200",".200",".200",".176",".281","10","0.0","-0.8","0.8","0.0","19244"
"Drew Rasmussen","- - -","35","4","0","0","0","0","0.0%","25.0%",".000",".333",".250",".250",".250",".220",".272","42","0.0","-0.3","0.5","0.0","25385"
"Jose De Leon","CIN","9","5","0","0","1","0","0.0%","40.0%",".000",".500",".250",".250",".250",".220",".210","27","0.0","-0.5","0.6","0.0","15463"
"Jose Urquidy","HOU","20","4","0","0","0","0","0.0%","75.0%",".000","1.000",".250",".250",".250",".220",".112","35","0.0","-0.3","0.5","0.0","18413"
"Lucas Giolito","CHW","31","4","0","0","0","0","0.0%","75.0%",".000","1.000",".250",".250",".250",".220",".102","34","0.0","-0.3","0.5","0.0","15474"
"Dylan Bundy","LAA","24","4","0","0","0","0","0.0%","75.0%",".000","1.000",".250",".250",".250",".220",".022","33","0.0","-0.3","0.5","0.0","12917"
"Patrick Sandoval","LAA","17","4","0","1","0","0","0.0%","50.0%",".000",".500",".250",".250",".250",".220",".039","33","0.0","-0.3","0.5","0.0","19447"
"Michael Chavis","- - -","43","124","3","16","11","1","0.8%","33.9%",".149",".351",".248",".258",".397",".277",".256","69","-1.0","-5.7","1.8","0.0","17321"
"Zack Littell","SFG","63","4","0","0","0","0","0.0%","75.0%",".000","1.000",".250",".250",".250",".220",".140","36","0.0","-0.3","0.5","0.0","15823"
"Adrian Houser","MIL","28","46","2","2","2","0","4.3%","65.2%",".143",".100",".071",".114",".214",".143",".158","-16","0.0","-6.8","5.6","0.0","12718"
"Corbin Martin","ARI","5","4","0","0","0","0","0.0%","75.0%",".000","1.000",".250",".250",".250",".220",".136","33","0.0","-0.3","0.5","0.0","19884"
"Edward Cabrera","MIA","7","7","0","0","1","0","0.0%","42.9%",".143",".250",".143",".143",".286",".177",".140","9","0.0","-0.8","0.8","0.0","21690"
"Craig Stammen","SDP","67","7","0","0","0","0","0.0%","42.9%",".000",".500",".200",".200",".200",".176",".169","9","0.0","-0.8","0.8","0.0","7274"
"Humberto Mejia","ARI","5","8","0","1","0","0","0.0%","25.0%",".143",".200",".143",".143",".286",".177",".248","5","0.0","-1.0","1.0","0.0","20739"
"Hoy Park","- - -","45","150","3","16","14","1","12.0%","25.3%",".141",".250",".195",".297",".336",".279",".292","72","-1.0","-6.3","1.5","0.0","18027"
"Braxton Garrett","MIA","8","11","0","1","0","0","0.0%","36.4%",".000",".286",".182",".182",".182",".160",".163","-2","0.0","-1.4","1.3","0.0","21844"
"Paolo Espino","WSN","35","33","0","2","0","0","0.0%","45.5%",".000",".333",".167",".167",".167",".147",".182","-15","0.0","-4.8","4.0","0.0","8246"
"Jon Duplantier","ARI","4","3","0","0","0","0","0.0%","66.7%",".000",".000",".000",".333",".000",".241",".241","46","0.0","-0.2","0.4","0.0","19546"
"Casey Mize","DET","30","3","0","0","1","0","33.3%","33.3%",".000",".000",".000",".333",".000",".231",".247","43","0.0","-0.2","0.4","0.0","20492"
"Asdrubal Cabrera","- - -","110","352","7","34","42","1","10.2%","22.7%",".136",".283",".230",".313",".366",".297",".286","82","-1.9","-9.8","-1.8","0.0","4962"
"Jesus Luzardo","- - -","25","20","0","1","0","0","20.0%","30.0%",".000",".000",".000",".211",".000",".146",".195","-11","0.0","-2.8","2.4","0.0","19959"
"Joey Bart","SFG","2","6","0","1","1","0","0.0%","33.3%",".000",".500",".333",".333",".333",".293",".322","83","0.1","0.0","0.1","0.0","21524"
"Nathan Eovaldi","BOS","32","3","0","1","0","0","33.3%","33.3%",".000",".000",".000",".333",".000",".231",".254","37","0.0","-0.2","0.4","0.0","9132"
"Tony Santillan","CIN","27","8","0","1","0","0","0.0%","25.0%",".143",".200",".143",".143",".286",".177",".210","0","0.0","-1.0","1.0","0.0","19926"
"Kwang-hyun Kim","STL","27","29","0","0","2","0","0.0%","31.0%",".038",".176",".115",".148",".154",".138",".140","-16","0.0","-4.3","3.5","0.0","27458"
"Jon Jay","LAA","5","14","0","2","1","0","0.0%","14.3%",".000",".417",".357",".357",".357",".314",".185","97","0.1","0.0","-0.3","0.0","5227"
"Lance Lynn","CHW","28","5","0","0","2","0","0.0%","60.0%",".000",".500",".200",".200",".200",".176",".206","5","0.0","-0.6","0.6","0.0","2520"
"Edwin Uceta","LAD","14","5","0","1","0","0","0.0%","40.0%",".000",".333",".200",".200",".200",".176",".093","7","0.0","-0.6","0.6","0.0","20539"
"Eric Campbell","SEA","4","12","0","1","0","0","8.3%","8.3%",".000",".300",".273",".333",".273",".277",".307","79","0.2","-0.1","-0.1","0.0","6938"
"Zach Thompson","MIA","27","18","0","0","0","0","0.0%","50.0%",".067",".333",".133",".133",".200",".141",".063","-14","0.0","-2.6","2.2","0.0","16094"
"Nick Ciuffo","BAL","2","6","0","0","0","0","16.7%","16.7%",".200",".250",".200",".333",".400",".322",".264","102","0.0","0.0","-0.1","0.0","16291"
"Jonathan Arauz","BOS","28","75","3","9","8","0","10.7%","20.0%",".185",".191",".185",".274",".369",".282",".270","71","-0.1","-2.8","0.4","0.0","20275"
"Alex Vesia","LAD","41","4","0","0","0","0","25.0%","75.0%",".000",".000",".000",".250",".000",".173",".173","5","0.0","-0.5","0.5","0.0","25007"
"Lewis Brinson","MIA","89","290","9","24","33","1","4.5%","24.8%",".150",".273",".226",".263",".376",".275",".286","72","-0.7","-10.9","1.3","0.0","14352"
"Seth Frankoff","ARI","4","4","0","0","0","0","25.0%","50.0%",".000",".000",".000",".250",".000",".173",".228","2","0.0","-0.5","0.5","0.0","11346"
"Tejay Antone","CIN","23","5","0","1","0","0","20.0%","60.0%",".000",".000",".000",".250",".000",".173",".173","-3","0.0","-0.7","0.6","0.0","16233"
"Harold Ramirez","CLE","99","361","7","33","41","3","3.9%","15.5%",".130",".301",".268",".305",".398",".302",".308","90","1.2","-3.0","-9.2","0.0","14387"
"Keegan Thompson","CHC","32","8","0","0","0","0","0.0%","37.5%",".000",".333",".167",".167",".167",".147",".176","-13","0.0","-1.2","1.0","0.0","19795"
"John Andreoli","SDP","7","7","0","2","0","0","14.3%","42.9%",".167",".333",".167",".286",".333",".276",".335","75","0.1","-0.1","0.0","0.0","13012"
"Vince Velasquez","- - -","26","30","0","0","3","0","6.7%","30.0%",".000",".143",".087",".160",".087",".126",".231","-19","0.0","-4.6","3.6","0.0","11189"
"Tzu-Wei Lin","MIN","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.1","0.0","14678"
"Luis Marte","MIA","4","7","0","2","0","0","14.3%","28.6%",".000",".250",".167",".286",".167",".224",".227","40","0.3","-0.2","0.1","0.0","14515"
"Ali Sanchez","STL","2","4","0","0","0","0","0.0%","0.0%",".500",".500",".500",".500","1.000",".621",".510","298","-1.2","-0.2","0.1","0.0","18551"
"Justin Steele","CHC","20","13","0","3","0","0","0.0%","30.8%",".000",".222",".154",".154",".154",".135",".199","-20","0.0","-2.0","1.6","0.0","17312"
"Jack Kruger","LAA","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19634"
"Neftali Feliz","- - -","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18"
"Matt Bush","TEX","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","1246"
"Adam Ottavino","BOS","69","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","1247"
"Oliver Perez","CLE","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","1514"
"Sean Doolittle","- - -","56","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","1581"
"Luis Avilan","WSN","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","2882"
"Will Harris","WSN","8","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3192"
"Ervin Santana","KCR","38","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3200"
"T.J. McFarland","STL","38","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3237"
"Zack Britton","NYY","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3240"
"Joe Smith","- - -","50","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3281"
"Darren O'Day","NYY","12","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3321"
"Danny Duffy","KCR","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3542"
"Liam Hendriks","CHW","69","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3548"
"Yusmeiro Petit","OAK","78","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4020"
"Hector Santiago","SEA","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4026"
"Pedro Strop","CHC","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4070"
"Derek Holland","DET","39","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4141"
"Rafael Dolis","TOR","39","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4185"
"Justin Wilson","- - -","42","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4301"
"Matt Shoemaker","MIN","16","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4776"
"Fernando Abad","BAL","16","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4994"
"Anthony Gose","CLE","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","5097"
"Jeurys Familia","NYM","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","5114"
"Blake Parker","CLE","47","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","5224"
"Brad Peacock","BOS","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","5401"
"Pedro Baez","HOU","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","5420"
"Ryan Brasier","BOS","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","5615"
"Tyler Clippard","ARI","26","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","5640"
"Dellin Betances","NYM","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6216"
"David Phelps","TOR","12","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6316"
"Chris Archer","TBR","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6345"
"Trevor May","NYM","68","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6398"
"Steve Cishek","LAA","74","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6483"
"Blaine Hardy","MIL","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6499"
"Brad Brach","CIN","35","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6627"
"Alex Colome","MIN","67","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6661"
"Andrew Miller","STL","40","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6785"
"Julio Teheran","DET","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6797"
"Joakim Soria","- - -","41","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6941"
"Brandon Dickson","STL","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6979"
"Luis Garcia","STL","34","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6984"
"Ian Kennedy","- - -","55","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6986"
"Ryan Pressly","HOU","64","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7005"
"Daniel Hudson","- - -","54","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7146"
"Greg Holland","KCR","57","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7196"
"Preston Guilmet","MIA","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7303"
"Wade Davis","KCR","40","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7441"
"Anthony Swarzak","- - -","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7466"
"Collin McHugh","TBR","37","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7531"
"Jake McGee","SFG","62","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7550"
"Nick Vincent","MIN","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7555"
"Tommy Milone","TOR","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7608"
"Mike Fiers","OAK","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7754"
"Andrew Albers","MIN","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7853"
"Anthony Bass","MIA","70","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7982"
"Will Smith","ATL","71","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8048"
"Bryan Shaw","CLE","81","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8110"
"David Robertson","TBR","12","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8241"
"Lucas Luetge","NYY","57","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8337"
"AJ Ramos","LAA","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8350"
"Deolis Guerra","OAK","53","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8410"
"Justin Miller","- - -","23","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8580"
"Tanner Roark","TOR","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8753"
"Cesar Valdez","BAL","39","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9013"
"John Axford","MIL","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9059"
"Brad Hand","- - -","68","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9111"
"Kyle Lobstein","WSN","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9178"
"Zac Rosscup","COL","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9419"
"Ryan Buchter","ARI","18","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9456"
"David Hale","PHI","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9756"
"Sergio Romo","OAK","66","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9817"
"Chaz Roe","TBR","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9866"
"Brandon Kintzler","PHI","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9939"
"Tyler Matzek","ATL","69","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10058"
"Brooks Raley","HOU","58","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10061"
"Ian Krol","DET","18","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10066"
